filename,parent,collectionCallNumber,series,title,description,description,description,originalPublisher,donorProvenance,dateDigitized,dateCreated,masterFilename,contributor,subjectName,subjectTopic,subjectPlace,physicalFormat,resourceType,rightsStatement,accessRights,publisher,publisherHomepage
,,MS 414,1965,Concert 1,,"Recorded in performance: August 20, 1965, Cabrillo College Music Hall, Aptos, California.",Digitized from reel-to-reel tapes.,"Originally broadcast: Berkeley, Calif.: KPFA, 1965.",Original tape gift of Other Minds.,2018,1965-08-20,,,,,http://www.geonames.org/5332433/cabrillo-college-main-campus.html,http://vocab.getty.edu/aat/300403949,http://purl.org/dc/dcmitype/Sound,"This work is available from the UC Santa Cruz Library upon request. Please contact Special Collections & Archives for access. This digital copy of the work is intended to support research, teaching, and private study. This work is protected by U.S. Copyright Law (Title 17, U.S.C.). Use of this work beyond that allowed by fair use requires written permission of the copyright holder(s). Responsibility for obtaining permission, and for any use or distribution of this work, rests exclusively with the user and not the UC Santa Cruz Library. For more information on copyright, please visit: guides.library.ucsc.edu/speccoll/reproduction-publication. ",Restricted,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll
ms0414_rec_3804.wav,row:prev,,,Part 1: Symphony No. 22 in E-flat major by Joseph Haydn.,"Performers: Cabrillo Music Festival Orchestra\; Gerhard Samuel, conductor\; Charles Shere, host.",,,,,,,ms0414_rec_3804.wav,info:lc/authorities/names/n79091193; info:lc/authorities/names/no91010323; info:lc/authorities/names/n84053956; info:lc/authorities/names/n91021369; info:lc/authorities/names/no98067931,,,,,,,,,
ms0414_rec_3805.wav,row:prev,,,Part 2: Les nuits d'été (orchestral version) by Hector Berlioz.,"Performers: Walter Carringer, tenor\; Cabrillo Music Festival Orchestra\; Gerhard Samuel, conductor\; Charles Shere, recording host.",,,,,,,ms0414_rec_3805.wav,info:lc/authorities/names/n79091197; info:lc/authorities/names/no91027627; info:lc/authorities/names/no91010323; info:lc/authorities/names/n84053956; info:lc/authorities/names/n91021369; info:lc/authorities/names/no98067931,,,,,,,,,
,,MS 414,1965,Concert 2,,"Recorded in performance: August 21, 1965, Cabrillo College Music Hall, Aptos, California.",Digitized from reel-to-reel tapes.,"Originally broadcast: Berkeley, Calif.: KPFA, 1965.",Original tape gift of Other Minds.,2018,1965-08-21,,,,,http://www.geonames.org/5332433/cabrillo-college-main-campus.html,http://vocab.getty.edu/aat/300403949,http://purl.org/dc/dcmitype/Sound,"This work is available from the UC Santa Cruz Library upon request. Please contact Special Collections & Archives for access. This digital copy of the work is intended to support research, teaching, and private study. This work is protected by U.S. Copyright Law (Title 17, U.S.C.). Use of this work beyond that allowed by fair use requires written permission of the copyright holder(s). Responsibility for obtaining permission, and for any use or distribution of this work, rests exclusively with the user and not the UC Santa Cruz Library. For more information on copyright, please visit: guides.library.ucsc.edu/speccoll/reproduction-publication. ",Restricted,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll
ms0414_rec_3800.wav,row:prev,,,Part 1: Piano trio no. 7 in E minor by Joseph Haydn.,"Performers: Nathan Schwartz, piano\; Austin Reller, violin\; Ellen Dessler, cello\; Charles Shere, recording host.",,,,,,,ms0414_rec_3800.wav,"info:lc/authorities/names/n79091193; Dessler, Ellen; info:lc/authorities/names/no98067761; info:lc/authorities/names/no91014669; info:lc/authorities/names/no91010323; info:lc/authorities/names/n84053956; info:lc/authorities/names/n91021369",,,,,,,,,
ms0414_rec_3801.wav,row:prev,,,Part 2: Variations for piano by Aaron Copland.,"Performers: Nathan Schwartz, piano\; Charles Shere, recording host.",,,,,,,ms0414_rec_3801.wav,info:lc/authorities/names/n79089419; info:lc/authorities/names/no91014669; info:lc/authorities/names/no91010323; info:lc/authorities/names/n84053956; info:lc/authorities/names/n91021369,,info:lc/authorities/subjects/sh85142205,,,,,,,
ms0414_rec_3802.wav,row:prev,,,"Part 3: Zefiro torna e di soavi accenti, by Claudio Monteverdi.","Performers: Walter Carringer, tenor\; James Schwabacher, tenor\; Marjorie Prescott, cello\; Margaret Fabrizio, harpsichord\; Gerhard Samuel, conductor\; Charles Shere, recording host.",,,,,,,ms0414_rec_3802.wav,"info:lc/authorities/names/n79074370; info:lc/authorities/names/no91027627; info:lc/authorities/names/nr2006007678; Prescott, Marjorie; info:lc/authorities/names/nr91024071; info:lc/authorities/names/no91010323; info:lc/authorities/names/n84053956; info:lc/authorities/names/n91021369",,info:lc/authorities/subjects/sh85144072,,,,,,,
ms0414_rec_3803.wav,row:prev,,,"Part 4: Quartet in C major, Op. 20, #2, by Joseph Haydn.","Performers: David Abel, violin\; Judith Poska, violin\; Kenneth Harrison, viola\; Sally Kell, cello\; Gerhard Samuel, conductor\; Charles Shere, recording host.",,,,,,,ms0414_rec_3803.wav,"info:lc/authorities/names/n79091193; info:lc/authorities/names/no97033342; Poska, Judith; info:lc/authorities/names/n85801363; Kell, Sally; info:lc/authorities/names/no91010323; info:lc/authorities/names/n84053956; info:lc/authorities/names/n91021369",,,,,,,,,
,,MS 414,1965,Concert 3,,"Recorded in performance: August 21, 1965, Cabrillo College Music Hall, Aptos, California.",Digitized from reel-to-reel tapes.,"Originally broadcast: Berkeley, Calif.: KPFA, 1965.",Original tape gift of Other Minds.,2018,1965-08-21,,,,,http://www.geonames.org/5332433/cabrillo-college-main-campus.html,http://vocab.getty.edu/aat/300403949,http://purl.org/dc/dcmitype/Sound,"This work is available from the UC Santa Cruz Library upon request. Please contact Special Collections & Archives for access. This digital copy of the work is intended to support research, teaching, and private study. This work is protected by U.S. Copyright Law (Title 17, U.S.C.). Use of this work beyond that allowed by fair use requires written permission of the copyright holder(s). Responsibility for obtaining permission, and for any use or distribution of this work, rests exclusively with the user and not the UC Santa Cruz Library. For more information on copyright, please visit: guides.library.ucsc.edu/speccoll/reproduction-publication. ",Restricted,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll
ms0414_rec_3807.wav,row:prev,,,"Part 1: Brandenburg Concerto No. 4 in G major, by Johann Sebastian Bach.","Performers: Cabrillo Music Festival Orchestra\; Gerhard Samuel, conductor\; Charles Shere, recording host.",,,,,,,ms0414_rec_3807.wav,info:lc/authorities/names/n79021425; info:lc/authorities/names/no91010323; info:lc/authorities/names/n84053956; info:lc/authorities/names/n91021369; info:lc/authorities/names/no98067931,,,,,,,,,
