work type,filename,parent,extent,masterFilename,collectionCallNumber,title,description,creator,contributor,dateCreatedDisplay,dateCreated,subjectPlace,subjectName,subjectTopic,resourceType,language,physicalFormat,physicalDescription,relatedResource,rightsStatement,rightsHolder,accessRights,rightsStatus,publisher,publisherHomepage,accessionNumber,donorProvenance,staffNote,boxFolder,genre,itemCallNumber,scale
collection,,,14 collections,,,UC Santa Cruz Campus History Collections,"This collection includes photographs and other material documenting the historical development, culture and social environment of one of the UC system's most beautiful campuses, the University of California, Santa Cruz.",,,,,,,,,,,,,,,,,,,,,,,,,
collection,,row:2,395 images,,MS 90,Gordon R. Sinclair papers,"This collection contains photographs documenting the City of Santa Cruz's bid for the new UC campus led by the Santa Cruz Sentinel's Managing Editor, Gordon R. Sinclair.",,,1957-1979,1957; 1958; 1959; 1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969; 1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979,,info:lc/authorities/names/n79059545,,http://purl.org/dc/dcmitype/Collection,,http://vocab.getty.edu/aat/300128347,,https://oac.cdlib.org/findaid/ark:/13030/c8sf2xtt/,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Covello & Covello Photography,Public,http://rightsstatements.org/vocab/InC/1.0/,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,,,,,,,
work,ms0090_pho_0002.tif,row:3,,ms0090_pho_0002.tif,,East Field House: general view,,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/11903395/east-field-house.html,info:lc/authorities/names/n79059545,,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0003.tif,row:3,,ms0090_pho_0003.tif,,"Clark Kerr, president of the University of California, and Dean McHenry, chancellor of UC Santa Cruz",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545; info:lc/authorities/names/n78093730; info:lc/authorities/names/n50007243,info:lc/authorities/subjects/sh85028268,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0004.tif,row:3,,ms0090_pho_0004.tif,,"Clark Kerr, president of the University of California, and Dean McHenry, chancellor of UC Santa Cruz",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545; info:lc/authorities/names/n78093730; info:lc/authorities/names/n50007243,info:lc/authorities/subjects/sh85028268,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0005.tif,row:3,,ms0090_pho_0005.tif,,"Dean McHenry, chancellor of UC Santa Cruz",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545; info:lc/authorities/names/n50007243,info:lc/authorities/subjects/sh85028268,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0010.tif,row:3,,ms0090_pho_0010.tif,,"Physical Planning Office clerical staff: (top to bottom of stairs) Helen Sherra, senior accounting clerk\; Wanda Roades, principal clerk\; Isabel Jordan, principal accounting clerk\; Sally Hegland, administrative assistant to Jack Wagstaff\; Peggy Schiele\; Georgia Liguori\; Anne Illingworth, senior typist clerk\; Lueen Gardner, secretary, chancellor's office",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh98006638,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition A, p. 42",,,,,,,,,,,,,
work,ms0090_pho_0011.tif,row:3,,ms0090_pho_0011.tif,,"Pioneer Class: dance at the East Field House: students doing the ""Bunny Hop""",,"Dick, Vester",,1965-09-27,1965-09-27,http://www.geonames.org/11903395/east-field-house.html,info:lc/authorities/names/n79059545,UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356; info:lc/authorities/subjects/sh85111945; info:lc/authorities/subjects/sh85035649,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition C",,,,,,,,,,,,,
work,ms0090_pho_0012.tif,row:3,,ms0090_pho_0012.tif,,"Pioneer Class: Meredith Ayer, junior, San Jose, and Tracie Cave, junior, San Jose, on the path between Central Services and Field House",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,Campus grounds; UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition A, p. 27",,,,,,,,,,,,,
work,ms0090_pho_0013.tif,row:3,,ms0090_pho_0013.tif,,"Pioneer Class: Gil Null, junior, San Francisco, and Pam Cain, freshman, San Francisco",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,Campus grounds; UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition B, p. 39",,,,,,,,,,,,,
work,ms0090_pho_0014.tif,row:3,,ms0090_pho_0014.tif,,"Pioneer Class ""Opening Day"": Kathy Casey, Dr. & Mrs. Keesing (Roger Keesing, professor of anthropology), and Kirsten ""Bambi"" Goddard",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545; info:lc/authorities/names/n50046770,UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356; info:lc/authorities/subjects/sh85028378,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition B, p. 10",,,,,,,,,,,,,
work,ms0090_pho_0015.tif,row:3,,ms0090_pho_0015.tif,,"Pioneer Class ""Opening Day"": Betsy Avery, senior preceptor, meeting with freshmen, Brian Stanger, Mark Rinsler, Keith Anderson, and Charles McDonald",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,UCSC Pioneer Class; info:lc/authorities/subjects/sh85028268; info:lc/authorities/subjects/sh85028356,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition C, p. 21",,,,,,,,,,,,,
work,ms0090_pho_0016.tif,row:3,,ms0090_pho_0016.tif,,"Pioneer Class: Donald Tryk, freshman, Saratoga, practicing the bagpipe on a hill 1/2 mile from the trailers",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,Campus grounds; UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356; info:lc/authorities/subjects/sh85010971; info:lc/authorities/subjects/sh85089027,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition C, p. 31",,,,,,,,,,,,,
