workType,filename,parent,extent,series,title,titleAlternative,description,dateCreated,datePublished,creator,physicalDescription,physicalFormat,subjectPlace,subjectName,resourceType,collectionCallNumber,publisher,publisherHomepage,donorProvenance,rightsStatement,rightsHolder,accessRights,rightsStatus,accessionNumber,masterFilename,boxFolder
work,,id:fx719m62f,21 images,Berryessa Valley,Adobe walls,,,1956,,https://id.loc.gov/authorities/names/n79100159,,,,,,,,,,,,,,,,
work,ms0020_neg_bv_56-93_07.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_07,ms0020_neg_bv_56-93_07.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_08.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_08,ms0020_neg_bv_56-93_08.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_09.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_09,ms0020_neg_bv_56-93_09.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_10.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_10,ms0020_neg_bv_56-93_10.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_11.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_11,ms0020_neg_bv_56-93_11.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_12.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_12,ms0020_neg_bv_56-93_12.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_19.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_19,ms0020_neg_bv_56-93_19.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_20.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_20,ms0020_neg_bv_56-93_20.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_21.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_21,ms0020_neg_bv_56-93_21.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_22.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_22,ms0020_neg_bv_56-93_22.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_23.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_23,ms0020_neg_bv_56-93_23.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_24.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_24,ms0020_neg_bv_56-93_24.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_25.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_25,ms0020_neg_bv_56-93_25.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_26.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_26,ms0020_neg_bv_56-93_26.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_27.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_27,ms0020_neg_bv_56-93_27.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_28.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_28,ms0020_neg_bv_56-93_28.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-93_29.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_29,ms0020_neg_bv_56-93_29.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-95_01.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-95_01,ms0020_neg_bv_56-95_01.tif,"Box 512, Folder 56-95"
work,ms0020_neg_bv_56-95_02.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-95_02,ms0020_neg_bv_56-95_02.tif,"Box 512, Folder 56-95"
