filename,work_type,parent,masterFilename,collectionCallNumber,collection,series,subseries,title,titleAlternative,creator,description,staffNote,dateCreatedDisplay,dateCreated,subjectName,subjectPlace,genre,physicalFormat,physicalDescription,language,publisher,publisherHomepage,rightsStatement,rightsHolder,accessRights,rightsStatus,resourceType,donorProvenance,accessionNumber,boxFolder
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Edward S. Holden,,Taber Photographic Co.,,"""Return to L.O.\; A1, p.1\; 66.75\; B1-2\; Edward S. Holden 1888"". [Notes on album page:] ""E.S. Holden 1888"" [Scan shows earlier accession number, ms0284_pho_.]",1886-03-24,1886-03-24,info:lc/authorities/names/n80139210,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0001,"Volume 1, Page 1"
ua0036_pho_0001.tif,fileset,row:3,ua0036_pho_0001.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0001a.tif,fileset,row:3,ua0036_pho_0001a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Edward S. Holden,,info:lc/authorities/names/no2015031942,,"""Return to L.O."" [Notes on album page:] ""E.S. Holden 1895"" [Scan shows earlier accession number, ms0284_pho_.]",1895-01,1895-01,info:lc/authorities/names/n80139210,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0002,"Volume 1, Page 1"
ua0036_pho_0002.tif,fileset,row:6,ua0036_pho_0002.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0002a.tif,fileset,row:6,ua0036_pho_0002a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,E.E. (Edward Emerson) Barnard,,"Root, W. J.",,"""E.E. Barnard\; B1 Barnard 1"". [Notes on album page:] ""E.E. Barnard, 1893"". American, 1857-1923. Worked at Lick 1895-1923\; while there, discovered four new comets: 1888 V, 1889 I, 1889 II, and 1889 III\; photographed the Milky Way. [Scan shows earlier accession number, ms0284_pho_.]",1893,1893,info:lc/authorities/names/n94063816,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0004,"Volume 1, Page 2"
ua0036_pho_0004.tif,fileset,row:9,ua0036_pho_0004.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0004a.tif,fileset,row:9,ua0036_pho_0004a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,J.M. (John Martin) Schaeberle,,Taber Photographic Co.,,"""Schaeberle, ca. 1897\; v.1 p.3\; B1 3"". [Notes on album page:] ""J.M. Schaeberle, 1897"" [Scan shows earlier accession number, ms0284_pho_.]",1897-01-25,1897-01-25,info:lc/authorities/names/n90651752,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0005,"Volume 1, Page 3"
ua0036_pho_0005.tif,fileset,row:12,ua0036_pho_0005.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0005a.tif,fileset,row:12,ua0036_pho_0005a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,J.M. (John Martin) Schaeberle,,Randall Photographic Art Studio,,"""A1-Vol1- page 17125\; 3\; B1 2\; Taken Aug. 22. 1887\; -2 1/2-"". [Notes on album page:] ""J.M. Schaeberle, 1887"" [Scan shows earlier accession number, ms0284_pho_.]",1887-08-22,1887-08-22,info:lc/authorities/names/n90651752,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0006,"Volume 1, Page 3"
ua0036_pho_0006.tif,fileset,row:15,ua0036_pho_0006.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0006a.tif,fileset,row:15,ua0036_pho_0006a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,E.E. (Edward Emerson) Barnard,,,,"""A1, p.4\; B1, 2a. Very Sincerely your friend, E.E. Barnard 1893"". [Notes on album page:] ""gws 1893"". American, 1857-1923. Worked at Lick 1895-1923\; while there, discovered four new comets: 1888 V, 1889 I, 1889 II, and 1889 III\; photographed the Milky Way. [Scan shows earlier accession number, ms0284_pho_.]",1893,1893,info:lc/authorities/names/n94063816,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0007,"Volume 1, Page 4"
ua0036_pho_0007.tif,fileset,row:18,ua0036_pho_0007.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0007a.tif,fileset,row:18,ua0036_pho_0007a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,E.E. (Edward Emerson) Barnard,,Taber Photographic Co.,,"""E.E. Barnard March 17 - 1893\; B1 2a\; V.1, p.4"". [Notes on album page:] ""EEB1\; E.E. Barnard, 1893"". American, 1857-1923. Worked at Lick 1895-1923\; while there, discovered four new comets: 1888 V, 1889 I, 1889 II, and 1889 III\; photographed the Milky Way. [Scan shows earlier accession number, ms0284_pho_.]",1894-03-26,1894-03-26,info:lc/authorities/names/n94063816,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0008,"Volume 1, Page 4"
ua0036_pho_0008.tif,fileset,row:21,ua0036_pho_0008.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0008a.tif,fileset,row:21,ua0036_pho_0008a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,E.E. (Edward Emerson) Barnard,,Poole Art Co.,,"""B1 Barnard 3\; v.1 p.5\; L.O. from Dr. Swift""\; [stamped:] ""Lick Observatory 02/25/1896""\; [signed:] ""Sincerely your Friend. E.E. Barnard. June 1885. Vanderbilt University Observatory. Nashville, Tennessee"". [Notes on album page:] ""EEB 1885\; E.E. Barnard, 1885\; L.O. from Dr. Swift"" [Scan shows earlier accession number, ms0284_pho_.]",1885,1885,info:lc/authorities/names/n94063816,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0009,"Volume 1, Page 5"
ua0036_pho_0009.tif,fileset,row:24,ua0036_pho_0009.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0009a.tif,fileset,row:24,ua0036_pho_0009a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,C.D. (Charles Dillon) Perrine,,Taber Photographic Co.,,"""C.D. Perrine / December 1897\; 1 cal [?]\; Charles Dillon Perrine 1867 - 1951"". [Notes on album page:] ""EEB\; C.D. Perrine, 1897"" [Scan shows earlier accession number, ms0284_pho_.]",1897-12,1897-12,info:lc/authorities/names/n90625326,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0010,"Volume 1, Page 5"
ua0036_pho_0010.tif,fileset,row:27,ua0036_pho_0010.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0010a.tif,fileset,row:27,ua0036_pho_0010a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
