workType,filename,parent,extent,collectionCallNumber,title,description,descriptionAddress,creator,contributor,dateCreatedDisplay,dateCreated,subjectTopic,subjectPlace,subjectName,language,resourceType,physicalFormat,physicalDescription,donorProvenance,masterFilename,publisher,publisherHomepage,rightsStatement,rightsHolder,accessRights,rightsStatus,relatedResource,accessionNumber,itemCallNumber,boxFolder
collection,,,3 collections,,Santa Cruz County History Collections,Photographic images of Santa Cruz County from the late 1960s to the 1990s. Notable subjects include Santa Cruz architecture before and after the Loma Prieta Earthquake (1989).,,,,,,,,,,,,,,,,,,,,,,,,
collection,,row:2,35 objects,MS 188,Alexander Lowry Photographs,"The Alexander Lowry collection consists of black and white photographs taken of downtown Santa Cruz, California, immediately after the 1989 Loma Prieta earthquake [and scenes of the University of California, Santa Cruz Campus].",,,,1967-1989,,,,,,http://purl.org/dc/dcmitype/Collection,,,,,,,,,,,https://oac.cdlib.org/findaid/ark:/13030/kt4t1nc6wd/,,,
work,ms0188_pho_0001.tif,row:3,,,Loma Prieta Earthquake. Cooper House gable,"Note on verso: ""Part of Cooper House gable. It was in eight pieces. Background: Billie (Foreman for Granite Construction) Right: Bobby Bauer (Did most of work to get sculpture out) Left: Tony (Son of Man who ran wrecking Ball). Oct. 1989""",110 Cooper Street,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85006611; info:lc/authorities/subjects/sh85031450; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0001.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0001,,Box 1
work,ms0188_pho_0002.tif,row:3,,,Loma Prieta Earthquake. A damaged room in the St. George Hotel,"Note on verso: ""A room in St. George Hotel. Lots of chunks fell from ceiling. Bracing is cracked and twisted. Mostly on second and third floor. Oct. 1989""",1520 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85005927; info:lc/authorities/subjects/sh85012788; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0002.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0002,,Box 1
work,ms0188_pho_0003.tif,row:3,,,Loma Prieta Earthquake. Fireplace in the lobby of the St. George Hotel,"Note on verso: ""Fireplace in St. George Lobby. Pacific Ave. Oct. 1989.""",1520 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85048564; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0003.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0003,,Box 1
work,ms0188_pho_0004.tif,row:3,,,"Loma Prieta Earthquake. View of Pacific Avenue, with the Rittenhouse Building and Lily Marlene's","Note on verso: ""Rittenhouse Building (left) Lily Marlenes (left) October 23, 1989."" Duplicate print: ms0188_pho_0033, with note on verso, ""File #636-A-15, silver gelatin print 1990's"".",1369 Pacific Avenue\; 1363 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10-23,1989-10-23,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85121770; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0004.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0004,,Box 1
work,ms0188_pho_0005.tif,row:3,,,Loma Prieta Earthquake. The Hihn Building,"Note on verso: ""The Hihn Building (Medical and Dental Building) Built in 1894. File - 636-B-2""",1201 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85121770; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0005.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0005,,Box 1
work,ms0188_pho_0006.tif,row:3,,,Loma Prieta Earthquake. Sharon Lowry in Al Lowry's studio,"Note on Verso: ""October 18, 1989 Al Lowry's Studio Sharon Lowry. File - 640-B-3.""",,"Lowry, Alexander, 1937-2010",,1989-10-18,1989-10-18,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85101258; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0006.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0006,,Box 1
work,ms0188_pho_0007.tif,row:3,,,Loma Prieta Earthquake. View of Pacific Avenue,"Note on verso: ""Pacific Ave. After 'Quake. Disaster teams from all over the world. File - 636-B-11.""",Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85121770; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0007.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0007,,Box 1
work,ms0188_pho_0008.tif,row:3,,,Loma Prieta Earthquake. 314 Spruce Street,"Note on verso: ""Address 314 Spruce. Santa Cruz October. File - 639-B-23.""",314 Spruce Street,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85147932; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0008.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0008,,Box 1
