parent,extent,masterFilename,series,title,titleAlternative,description,description,accessionNumber,boxFolder,physicalDescription,creator,subjectName,subjectPlace,subjectTopic,dateCreated,datePublished,physicalFormat,accessRights,collection,collectionCallNumber,donorProvenance,publisher,publisherHomepage,resourceType,rightsStatement,rightsHolder
,3 images,,Berryessa Valley,Albert McKenzie,,,,,,,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5374510,,1956,,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california
row:prev,,ms0020_neg_bv_56-122_04.tif,,"Mr. McKenzie inside his store, Monticello, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-122_04,"Box 449, Folder 56-122",2 1/4 in,,,,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-122_03.tif,,Albert McKenzie: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-122_03,"Box 449, Folder 56-122",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-122_05.tif,,Albert McKenzie: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-122_05,"Box 449, Folder 56-122",2 1/4 in,,,,,,,,,,,,,,,,
,1 image,ms0020_neg_bv_56-206.tif,Berryessa Valley,Barn,,Printed/published,Barn frame,ms0020_neg_bv_56-206,"Box 448, Folder 56-206",5 x 7 in,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5364444,,1956,1956,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/uc_board_of_regents
,12 images,,Berryessa Valley,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth",,,,,,,http://id.loc.gov/authorities/names/n90650175,http://id.loc.gov/authorities/names/n79100159,http://www.geonames.org/5364444,,1956,,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california
row:prev,,ms0020_neg_bv_56-179_07.tif,,"Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth on the left at Berryessa Reservoir",,Printed/published,,ms0020_neg_bv_56-179_07,"Box 449, Folder 56-176",2 1/4 in,,,,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_03.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-177_03,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_04.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-177_04,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_02.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-177_02,"Box 449, Folder 56-176",2 1/4 in,,,,,,,,,,,,,,,,
