parent,extent,masterFilename,series,title,titleAlternative,description,description,descriptionAddress,accessionNumber,creator,publisher,publisherHomepage,resourceType,rightsStatement,rightsHolder,subjectName,subjectPlace,subjectTopic,dateCreated,datePublished,physicalFormat,physicalDescription,accessRights,collection,collectionCallNumber,donorProvenance,boxFolder
,17 images,,The Black Panthers,"Black Festival, Marin City",,,,,,http://id.loc.gov/authorities/names/n90650175,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california,http://id.loc.gov/authorities/names/n80095585,http://www.geonames.org/5370464,http://id.loc.gov/authorities/subjects/sh85026383;http://id.loc.gov/authorities/subjects/sh85014602,1968-07-20,,http://vocab.getty.edu/aat/300128343,,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,
row:prev,,ms0020_neg_bp_68-064b_16.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_16,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_17.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_17,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_08.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_08,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_01.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_01,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_07.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_07,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_02.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_02,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_04.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_04,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_06.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_06,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_12.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_12,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_13.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_13,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_10.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_10,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_11.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_11,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_14.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_14,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_15.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_15,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_03.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_03,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_09.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_09,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
row:prev,,ms0020_neg_bp_68-064b_05.tif,,"Black Festival, Marin City: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_68-064b_05,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 68-064b"
,72 images,,The Black Panthers,"Black Panther Free Breakfast for Children Program, feature for Vi magazine",,,,,,http://id.loc.gov/authorities/names/n90650175,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california,http://id.loc.gov/authorities/names/n80095585,http://www.geonames.org/5403474,http://id.loc.gov/authorities/subjects/sh85026383;http://id.loc.gov/authorities/subjects/sh85014602,1969-05-19,,http://vocab.getty.edu/aat/300128343,,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,
row:prev,,ms0020_neg_bp_69-105_27.tif,,"Charles Bursey carrying two plates, St. Augustine's Episcopal Church, Oakland, from The Black Panther Breakfast Program",,,,,ms0020_neg_bp_69-105_27,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_22.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_22,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_24.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_24,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_02.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_02,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_03.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_03,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_13.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_13,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_14.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_14,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_22.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_22,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_16.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_16,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_06.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_06,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_03.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_03,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_09.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_09,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_25.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_25,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_21.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled","Two young boys eating, St. Augustine's Episcopal Church, #136",Printed/published,#136 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_69-105_21,,,,,,,,,,,1969,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_13.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_13,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_19.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_19,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_08.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_08,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
