filename,collectionCallNumber,collection,series,accessionNumber,boxFolder,title,titleAlternative,subSeries,description,dateCreated,datePublished,creator,physicalDescription,physicalFormat,subjectPlace,subjectName,subjectTopic,resourceType,publisher,publisherHomepage,donorProvenance,rightsStatement,rightsHolder,accessRights,theme,masterFilename
ms0020_neg_4703_01.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_4703_01,"Box 462, Folder 4703_01",Untitled,,Copy series for 1947 C.S.F.A.assignment #1,Unprinted/unpublished,1947,,http://id.loc.gov/authorities/names/n2002034393,4 x 5 in,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5391960,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_4703_01.tif
ms0020_neg_4703_02.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_4703_02,"Box 462, Folder 4703_02",Untitled,,Copy series for 1947 C.S.F.A.assignment #2,Unprinted/unpublished,1947,,http://id.loc.gov/authorities/names/n2002034393,4 x 5 in,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5391960,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_4703_02.tif
ms0020_neg_4764.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Pirkle Jones,ms0020_neg_4764,"Box 462, Folder 4764","Pirkle Jones sitting with camera case, San Francisco",,"Pirkle Jones, Likeson Series, Golden Gate Park",,1947,1947,http://id.loc.gov/authorities/names/n2002034393,4 x 5 in,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5352860,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_4764.tif
ms0020_neg_5702a_01.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_5702a_01,"Box 463, Folder 5702",Untitled,,Cigar store Indian statue,,1957,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5402535,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_5702a_01.tif
ms0020_neg_5702a_02.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_5702a_02,"Box 463, Folder 5702",Untitled,,Cigar store Indian statue,,1957,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5402535,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_5702a_02.tif
ms0020_neg_5702a_03.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_5702a_03,"Box 463, Folder 5702",Untitled,,Cigar store Indian statue,,1957,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5402535,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_5702a_03.tif
ms0020_neg_5702a_04.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_5702a_04,"Box 463, Folder 5702",Untitled,,Cigar store Indian statue,,1957,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5402535,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_5702a_04.tif
ms0020_neg_5702a_05.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_5702a_05,"Box 463, Folder 5702",Untitled,,Cigar store Indian statue,,1957,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5402535,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_5702a_05.tif
ms0020_neg_5702a_06.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_5702a_06,"Box 463, Folder 5702",Untitled,,Cigar store Indian statue,,1957,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5402535,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_5702a_06.tif
ms0020_neg_5702a_07.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_5702a_07,"Box 463, Folder 5702",Untitled,,Tiburon,Unprinted/unpublished,1957,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5402535,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_5702a_07.tif
